Model,Accuracy,F1 Score,Training Time (s)
XGBoost,0.8634604754007739,0.694382578569661,0.21077752113342285
Random Forest,0.844555002763958,0.659893565553943,0.5634596347808838
Logistic Regression,0.845992260917634,0.658159509202454,0.3646223545074463
SVM,0.8456605859590934,0.654284299157999,0.1968519687652588
KNN,0.8248756218905473,0.6253547776726585,0.05199122428894043
Decision Tree,0.8059701492537313,0.6172300981461287,0.35852718353271484
