Model,Accuracy,Precision,Recall,F1 Score,Training Time (s)
XGBoost,0.870835639180963,0.7801566579634465,0.6669642857142857,0.7191335740072202,0.11843299865722656
Random Forest,0.8574432761483122,0.7606790799561884,0.6200892857142857,0.6832267584849976,2.74397611618042
SVM,0.8444936358605424,0.7585139318885449,0.546875,0.6355382619974059,12.88459062576294
KNN,0.8224681793027117,0.6635802469135802,0.5758928571428571,0.6166347992351816,0.06926655769348145
Logistic Regression,0.8148312119535142,0.6983904828551435,0.4455357142857143,0.5440174434450804,0.019504547119140625
Decision Tree,0.8055340343110128,0.6061538461538462,0.615625,0.6108527131782946,0.13623476028442383
