Model,Accuracy Before,F1 Score Before,Training Time (s) Before,Accuracy After,F1 Score After,Training Time (s) After,Accuracy Change,F1 Change,Training Time Change (s)
XGBoost,0.8634604754007739,0.694382578569661,0.21077752113342285,0.8662244333886125,0.7082931533269046,0.5033464431762695,0.0027639579878386833,0.013910574757243555,0.2925689220428467
Random Forest,0.844555002763958,0.659893565553943,0.5634596347808838,0.860033167495854,0.6809475806451613,0.5245637893676758,0.015478164731896005,0.021054015091218292,-0.03889584541320801
Decision Tree,0.8059701492537313,0.6172300981461287,0.35852718353271484,0.8489773355444997,0.6607054148037754,0.26412367820739746,0.043007186290768384,0.0434753166576467,-0.09440350532531738
Logistic Regression,0.845992260917634,0.658159509202454,0.3646223545074463,0.845992260917634,0.658159509202454,0.4136776924133301,0.0,0.0,0.04905533790588379
SVM,0.8456605859590934,0.654284299157999,0.1968519687652588,0.845771144278607,0.654275092936803,0.20975399017333984,0.0001105583195135651,-9.206221196045306e-06,0.012902021408081055
KNN,0.8248756218905473,0.6253547776726585,0.05199122428894043,0.8338308457711443,0.642738293320656,0.05598807334899902,0.008955223880596996,0.01738351564799756,0.003996849060058594
