Approach,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV F1 Mean,CV F1 Std,Training Time (s)
Default preprocessing + default model,Gradient Boosting,0.8062455642299503,0.6735395189003437,0.5240641711229946,0.5894736842105263,0.8432121728796921,0.5907268175945867,0.023188626960036377,0.8768296241760254
Default preprocessing + default model,Logistic Regression,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745664,0.8418739827946988,0.5917975427591312,0.029758094056216485,0.04451894760131836
Default preprocessing + default model,XGBoost,0.7849538679914834,0.6059701492537314,0.5427807486631016,0.5726375176304654,0.825448862021752,0.5511177096619476,0.023951870502564934,0.10524320602416992
Default preprocessing + default model,Random Forest,0.7778566359119943,0.6033898305084746,0.47593582887700536,0.5321375186846039,0.8163657030664703,0.5409570609163594,0.027893660865848595,0.5129413604736328
Default preprocessing + default model,Gaussian NB,0.694819020581973,0.45894428152492667,0.8368983957219251,0.5928030303030303,0.807419463173939,0.5974059607098476,0.009342925962355551,0.030529499053955078
Default preprocessing + default model,KNN,0.7636621717530163,0.5526992287917738,0.5748663101604278,0.563564875491481,0.7897672375933247,0.5472295273256698,0.015944511104622326,0.028997182846069336
Default preprocessing + default model,Extra Trees,0.7686302342086586,0.5736196319018405,0.5,0.5342857142857143,0.7852398666976672,0.5160284952484575,0.023862161255329497,0.5224161148071289
Default preprocessing + default model,Decision Tree,0.7288857345635202,0.4896373056994819,0.5053475935828877,0.49736842105263157,0.6572657521506626,0.49863137792866075,0.017242341472085594,0.057517290115356445
